BJD - 2454833, Corrected Flux
2159.079788766, 0.994803028,
2159.100220593, 0.997661829,
2159.120652520, 0.997181717,
2159.141084547, 0.996146025,
2159.161516373, 0.997614870,
2159.181948298, 0.996784787,
2159.202380323, 0.994886742,
2159.222812148, 0.997314292,
2159.243244072, 0.998209604,
2159.263675996, 0.995505955,
2159.284107919, 0.997356663,
2159.304539842, 0.995947693,
2159.324971765, 0.998151864,
2159.345403687, 0.997265061,
2159.365835608, 0.996654116,
2159.386267530, 0.996854471,
2159.406699450, 0.995810456,
2159.427131371, 0.995666902,
2159.447563391, 0.997704039,
2159.467995211, 0.997024357,
2159.508859149, 0.997322443,
2159.529290967, 0.997824575,
2159.549722985, 0.997842258,
2159.570154902, 0.998673717,
2159.590586719, 0.996981171,
2159.611018736, 0.997325301,
2159.631450652, 0.993664636,
2159.651882468, 0.998190708,
2159.672314483, 0.998703970,
2159.692746398, 0.995222042,
2159.713178213, 0.997255631,
2159.754042140, 0.994133481,
2159.774474054, 0.997249389,
2159.794905966, 0.998103916,
2159.815337879, 0.997845670,
2159.835769791, 0.998341331,
2159.876633613, 0.996705869,
2159.897065525, 0.996447884,
2159.917497535, 0.996120952,
2159.937929345, 0.998004318,
2159.958361254, 0.995836031,
2159.978793163, 0.996655987,
2160.019656880, 0.995414251,
2160.040088888, 0.994867385,
2160.060520796, 0.999109827,
2160.080952803, 0.999524804,
2160.101384609, 0.996778926,
2160.121816515, 0.997656446,
2160.142248521, 0.994386410,
2160.162680327, 0.995793028,
2160.183112231, 0.997461518,
2160.203544236, 0.998396891,
2160.223976040, 0.995874195,
2160.244407944, 0.997484889,
2160.264839947, 0.998005193,
2160.285271850, 0.994820633,
2160.305703652, 0.999373230,
2160.326135655, 0.997548254,
2160.346567556, 0.995170133,
2160.366999357, 0.997890299,
2160.387431358, 0.998519339,
2160.407863259, 0.996275887,
2160.428295059, 0.998016130,
2160.448727058, 0.997951550,
2160.469158957, 0.997789798,
2160.489590756, 0.997631943,
2160.510022754, 0.997967468,
2160.530454652, 0.998036219,
2160.550886450, 1.000641889,
2160.571318447, 0.998126075,
2160.591750344, 0.997407009,
2160.612182240, 0.995631598,
2160.632614136, 0.995619635,
2160.653046031, 0.998061170,
2160.673478026, 0.996492001,
2160.693909821, 0.997040322,
2160.734773709, 0.997891239,
2160.755205502, 0.997006604,
2160.775637395, 0.995453970,
2160.796069288, 0.997475368,
2160.816501180, 0.996491193,
2160.836933072, 0.998873108,
2160.857365063, 0.999087023,
2160.877796854, 0.998961337,
2160.898228745, 1.000938089,
2160.918660735, 0.997487519,
2160.939092524, 0.996920701,
2160.959524414, 0.999475869,
2160.979956403, 0.999550948,
2161.000388191, 0.997911725,
2161.020820080, 0.999354457,
2161.041252067, 0.997934352,
2161.061683854, 0.998019141,
2161.082115742, 0.996885402,
2161.102547728, 0.999328360,
2161.122979614, 0.998746991,
2161.143411400, 0.996933532,
2161.163843385, 0.997604543,
2161.184275270, 0.996595885,
2161.204707054, 1.000427639,
2161.225139038, 0.997980591,
2161.245570922, 0.997702467,
2161.266002705, 0.999403781,
2161.286434688, 0.998021117,
2161.306866571, 0.999858961,
2161.327298552, 0.998406390,
2161.347730334, 0.997295576,
2161.368162215, 0.997653231,
2161.388594196, 1.000221276,
2161.409025977, 0.999485132,
2161.429457857, 0.996171492,
2161.470321615, 0.998747007,
2161.490753494, 0.999982656,
2161.511185373, 0.998873236,
2161.531617251, 0.997197406,
2161.552049128, 0.998514960,
2161.572481006, 0.999234178,
2161.592912882, 0.998228502,
2161.613344759, 1.000624538,
2161.633776635, 0.994315588,
2161.654208511, 0.997224740,
2161.674640386, 1.000136987,
2161.735936009, 1.001199292,
2161.756367983, 0.999249278,
2161.776799756, 1.000535387,
2161.797231629, 0.997258967,
2161.817663601, 1.002995394,
2161.838095373, 1.001082162,
2161.858527345, 0.998976918,
2161.878959216, 0.997250653,
2161.899390987, 0.996771385,
2161.919822957, 0.998344406,
2161.940254827, 0.999530365,
2161.960686697, 1.001371742,
2161.981118566, 0.998712766,
2162.001550435, 1.001002539,
2162.021982304, 1.002719896,
2162.042414171, 0.998847874,
2162.062846039, 0.998030341,
2162.083277906, 0.998286230,
2162.103709773, 1.011206498,
2162.124141640, 0.999030979,
2162.144573506, 1.000141455,
2162.165005472, 1.001517403,
2162.205869102, 0.998692286,
2162.226300966, 1.000832625,
2162.246732830, 1.007199105,
2162.267164594, 0.999462052,
2162.287596557, 0.999993654,
2162.308028420, 1.000969486,
2162.328460183, 0.999101220,
2162.369324007, 1.001427433,
2162.389755868, 0.998291626,
2162.410187729, 0.996823323,
2162.430619590, 0.998390295,
2162.451051550, 1.005433512,
2162.471483310, 1.000628385,
2162.491915169, 0.999556458,
2162.512347128, 0.999084422,
2162.532778987, 0.999551608,
2162.553210745, 1.001101376,
2162.573642703, 0.998523335,
2162.594074560, 1.000203969,
2162.614506317, 0.999729672,
2162.634938274, 0.999703322,
2162.655370130, 0.999340643,
2162.696233841, 0.999497123,
2162.716665697, 1.004095427,
2162.737097451, 1.000459316,
2162.757529406, 1.000457698,
2162.777961260, 0.996634143,
2162.798393113, 0.999455369,
2162.818824966, 0.999249331,
2162.839256819, 1.001056908,
2162.859688671, 1.002461993,
2162.880120523, 1.001845306,
2162.900552375, 1.003736521,
2162.920984226, 1.000506409,
2162.941416077, 1.001402728,
2162.961847927, 0.999268478,
2162.982279777, 1.001465082,
2163.002711627, 1.001275401,
2163.023143476, 0.999262035,
2163.043575425, 0.998874141,
2163.064007174, 1.002455622,
2163.084439022, 1.003141084,
2163.104870970, 1.002061468,
2163.125302717, 0.999844808,
2163.186598257, 0.999798944,
2163.207030103, 0.999661064,
2163.227462048, 1.002362361,
2163.247893793, 1.001655789,
2163.268325638, 1.007969434,
2163.288757582, 1.001357675,
2163.309189326, 1.001181850,
2163.329621170, 1.002917651,
2163.350053113, 1.001515331,
2163.370484955, 1.001422481,
2163.390916698, 0.999716399,
2163.411348640, 1.001120291,
2163.431780481, 1.002312244,
2163.452212223, 1.001747207,
2163.472644163, 1.002268822,
2163.493076004, 1.001906316,
2163.513507744, 1.004221147,
2163.533939684, 1.000696045,
2163.554371523, 1.003221562,
2163.574803462, 1.000761191,
2163.595235200, 1.002555105,
2163.615667039, 1.002591485,
2163.636098876, 1.003143471,
2163.697394388, 1.001011424,
2163.717826224, 1.006915322,
2163.738258060, 1.004979531,
2163.758689895, 1.003487945,
2163.779121730, 1.003759339,
2163.799553565, 1.003171951,
2163.819985399, 1.002673148,
2163.840417234, 1.004094533,
2163.860849067, 1.003060101,
2163.881281000, 1.004237322,
2163.922144566, 1.004242951,
2163.942576498, 1.003013608,
2163.963008230, 1.004749351,
2163.983440061, 1.002100380,
2164.003871992, 1.002892655,
2164.024303723, 1.002508044,
2164.044735553, 1.001947137,
2164.085599212, 1.002571498,
2164.106031041, 1.004495312,
2164.126462970, 1.004911786,
2164.146894698, 1.003255793,
2164.167326626, 1.004347343,
2164.187758454, 1.003131139,
2164.208190281, 1.003807355,
2164.228622108, 1.003085745,
2164.249053935, 1.002102436,
2164.269485761, 1.001379754,
2164.289917686, 1.002134199,
2164.310349412, 1.002608054,
2164.330781237, 1.002147191,
2164.351213162, 1.002395196,
2164.371644886, 1.003236114,
2164.412508533, 1.005434541,
2164.432940356, 1.004309746,
2164.453372179, 1.004526064,
2164.473804001, 1.007028650,
2164.494235824, 1.000670878,
2164.535099466, 1.004780373,
2164.555531287, 1.005732578,
2164.575963108, 1.005313487,
2164.596394928, 1.006684589,
2164.616826748, 1.006516252,
2164.637258567, 1.006353674,
2164.657690386, 1.003332477,
2164.678122205, 1.006404220,
2164.698554123, 1.004868027,
2164.718985941, 1.003028411,
2164.739417659, 1.004662326,
2164.759849576, 1.007522138,
2164.780281393, 1.006114743,
2164.800713109, 1.004475404,
2164.821145026, 1.004340706,
2164.841576841, 1.004121992,
2164.862008557, 1.004418253,
2164.902872286, 1.005352870,
2164.923304001, 1.005997065,
2164.943735915, 1.007043133,
2164.964167728, 1.003015035,
2164.984599441, 1.004713047,
2165.005031354, 1.007411508,
2165.025463167, 1.012346989,
2165.045894979, 1.006107318,
2165.066326790, 1.003659565,
2165.086758602, 1.005384026,
2165.107190413, 1.004272477,
2165.127622223, 1.005557258,
2165.148054034, 1.007469737,
2165.168485844, 1.006238457,
2165.188917753, 1.008157595,
2165.209349463, 1.006931025,
2165.229781371, 1.004795408,
2165.250213080, 1.006495029,
2165.270644888, 1.005841670,
2165.291076796, 1.007332344,
2165.311508503, 1.004358873,
2165.331940310, 1.003396558,
2165.352372216, 1.011195779,
2165.393235729, 1.006634600,
2165.413667634, 1.006946936,
2165.434099339, 1.007908643,
2165.454531144, 1.007003981,
2165.474963049, 1.005117450,
2165.495394753, 1.008755815,
2165.515826557, 1.006914497,
2165.536258460, 1.006112937,
2165.556690263, 1.006454880,
2165.577121966, 1.006469812,
2165.597553868, 1.005994792,
2165.638417371, 1.006283685,
2165.658849273, 1.006873661,
2165.679281074, 1.006908059,
2165.699712774, 1.005594059,
2165.720144674, 1.006283672,
2165.740576474, 1.006542950,
2165.761008373, 1.005365079,
2165.781440073, 1.009820288,
2165.801871871, 1.008558494,
2165.822303770, 1.007237150,
2165.842735468, 1.006310077,
2165.863167265, 1.008011972,
2165.883599063, 1.008054680,
2165.904030860, 1.007828109,
2165.924462656, 1.009449857,
2165.944894453, 1.009613354,
2165.965326248, 1.008323209,
2165.985758044, 1.009524656,
2166.006189839, 1.006450957,
2166.026621634, 1.007473902,
2166.047053428, 1.007153436,
2166.067485322, 1.005769249,
2166.087917016, 1.007830833,
2166.108348810, 1.008919220,
2166.128780703, 1.007373967,
2166.149212395, 1.007814262,
2166.169644188, 1.007520285,
2166.190076080, 1.008664145,
2166.210507771, 1.006138139,
2166.230939563, 1.005792088,
2166.251371453, 1.011490760,
2166.271803144, 1.009063456,
2166.292235034, 1.006817829,
2166.312666824, 1.009226866,
2166.333098514, 1.011441002,
2166.394393980, 1.007435091,
2166.414825768, 1.010038867,
2166.435257556, 1.006335477,
2166.455689343, 1.008104131,
2166.476121130, 1.007302420,
2166.496552917, 1.008325868,
2166.516984704, 1.010135936,
2166.537416590, 1.007345297,
2166.557848275, 1.009283999,
2166.578280060, 1.008295808,
2166.598711946, 1.009641016,
2166.619143630, 1.008705347,
2166.639575414, 1.009799692,
2166.660007198, 1.012267592,
